Organization ID,Organization Name,address,State,Zip Code,summary
1,12 & 12,1214 S. BALTIMORE AVE.,OK,74119,TH
1,12 & 12,6333 E SKELLY DR,OK,74135,TH
3,24 Hour Oakland Parent / Teacher Children's Center,4700 INTERNATIONAL BLVD,CA,94601,ES
6,Abby's House,23 CROWN ST,MA,1609,ES
7,ABCCM,1329 TUNNEL RD,NC,28805,"ES, OPH, TH"
7,ABCCM,30 CUMBERLAND AVE,NC,28801,"ES, RRH, TH"
12,Access Housing,820 CHESAPEAKE ST SE,DC,20032,PSH
12,Access Housing,"842 CHESAPEAKE STREET, SE",DC,20032,TH
13,ACCESS Housing,6978 COLORADO BLVD,CO,80022,ES
14,ACCORD Corp.,70 MAIN ST,NY,14804,TH
14,ACCORD Corp.,84 SCHUYLER ST,NY,14813,RRH
16,Acres of Hope,13675 BOWMAN RD,CA,95603,TH
19,Action in Community Through Service (ACTS),17866 MAIN ST.,VA,22026,RRH
19,Action in Community Through Service (ACTS),17866 MAIN STREET,VA,22026,ES
20,ACTS Christian Transitional Services,1428 N. 28TH STREET,PA,19121,ES
20,ACTS Christian Transitional Services,1429 N NEWKIRK STREET,PA,19121,ES
22,Adirondack Vets House,26 PINE ST,NY,12801,"PSH, TH"
23,Advocates for Mentally Ill Housing,1112 WILLIAM WAY,CA,95678,TH
23,Advocates for Mentally Ill Housing,11768 ATWOOD RD,CA,95603,"OPH, PSH, RRH"
23,Advocates for Mentally Ill Housing,12525 DENNIS CT,CA,95603,TH
23,Advocates for Mentally Ill Housing,15675 LAKE ARTHUR RD,CA,95602,PSH
23,Advocates for Mentally Ill Housing,"2151 COLONIAL VILLAGE, #3",CA,95603,ES
23,Advocates for Mentally Ill Housing,2640 PRINCESS COURT,CA,95765,PSH
23,Advocates for Mentally Ill Housing,319 MAIN STREET,CA,95678,PSH
23,Advocates for Mentally Ill Housing,321 TIMBERLINE LN,CA,95603,PSH
23,Advocates for Mentally Ill Housing,3351 CORINTHIAN LN,CA,95603,TH
23,Advocates for Mentally Ill Housing,345 & 355 PLACER STREET,CA,95603,PSH
23,Advocates for Mentally Ill Housing,400 BUENA VISTA AVE,CA,95658,TH
23,Advocates for Mentally Ill Housing,4699 GREENBRAE DR,CA,95677,TH
23,Advocates for Mentally Ill Housing,5140 HIGH ST,CA,95677,TH
23,Advocates for Mentally Ill Housing,5417 HAVENHURST CIR,CA,95677,TH
24,Advantage Behavioral Health Systems,205 BRAY ST,GA,30601,PSH
24,Advantage Behavioral Health Systems,2085 S MILLEDGE AVE #1,GA,30606,PSH
24,Advantage Behavioral Health Systems,240 NORTH AVE,GA,30601,RRH
24,Advantage Behavioral Health Systems,95 NORTH AVE,GA,30601,RRH
25,Advocate for Homeless Families Inc.,216 ABRECHT PL,MD,21701,"RRH, TH"
27,Affordable Housing Services,1516 NAVARRO AVE,CA,91103,PSH
28,Against Abuse,119 N. FLORENCE BLVDE,AZ,85122,TH
47,Alger/Marquette Community Action Board,1906 FREEDOM DR APT A,MI,49855,"ES, PSH, RRH"
54,Alliance Against Homelessness,836 GARRISON AVE,NJ,7666,PSH
55,Alliance Housing Inc.,1828 CENTRAL AVE NE,MN,55418,PSH
55,Alliance Housing Inc.,2211 CLINTON AVE,MN,55404,OPH
55,Alliance Housing Inc.,2309 NICOLLET AVENUE SOUTH,MN,55404,OPH
55,Alliance Housing Inc.,3001 E LAKE ST,MN,55406,PSH
59,Almost Home,3200 SAINT VINCENT AVE,MO,63104,TH
60,Almost Home Inc.,568 E BRIDGE ST,CO,80601,ES
64,Alpha Project for the Homeless,3737 5TH AVE,CA,92103,RRH
64,Alpha Project for the Homeless,550 14TH ST,CA,92101,PSH
66,AltaPointe Health Systems,3800 MICHAEL BLVD,AL,36609,PSH
70,Alternatives to Violence of the Palouse,P.O. BOX 1244,WA,99163,ES
86,Amethyst Place,2735 TROOST AVE,MO,64109,"PSH, TH"
88,Amos House,208 WEBSTER AVE,RI,2909,TH
88,Amos House,251 SWAN ST,RI,2905,PSH
88,Amos House,414 FRIENDSHIP ST,RI,2907,PSH
88,Amos House,418 FRIENDSHIP ST,RI,2907,ES
88,Amos House,419 FRIENDSHIP ST,RI,2907,OPH
88,Amos House,43 JEWETT ST,RI,2908,OPH
88,Amos House,446 PINE ST,RI,2907,PSH
88,Amos House,460 PINE STREET,RI,2907,RRH
88,Amos House,56 SOMERSET ST,RI,2907,ES
88,Amos House,57 BROWNELL ST,RI,2908,OPH
88,Amos House,74 MAWNEY ST,RI,2907,OPH
90,Anchor House,1041-47 BERGEN STREET,NY,11216,TH
93,Anchorage Gospel Rescue Mission (AGRM),2823 E TUDOR RD,AK,99507,ES
93,Anchorage Gospel Rescue Mission (AGRM),2823 EAST TUDOR ROAD,AK,99507,ES
96,Another Chance House,209 S JACKSON ST,TX,79101,TH
99,Antioch Urban Ministries,565 GREENSFERRY AVE SW APT 1704,GA,30314,TH
100,Any Length Recovery Inc.,4742 BROAD ST,SC,29154,OPH
103,Arcata House Partnership,1005 11TH ST,CA,95521,"ES, PSH, RRH"
103,Arcata House Partnership,501 9TH ST.,CA,95501,"ES, PSH"
103,Arcata House Partnership,5073 BOYD RD,CA,95521,ES
103,Arcata House Partnership,5095 BOYD RD,CA,95521,PSH
106,Arlington Life Shelter,325 W DIVISION ST,TX,76011,ES
109,Area Substance Abuse Council (ASAC),3601 16TH AVE SW,IA,52404,TH
109,Area Substance Abuse Council (ASAC),4050 BOWLING ST SW,IA,52404,TH
110,Ascension Place/Haven Housing,1313 44TH AVE N,MN,55412,PSH
110,Ascension Place/Haven Housing,1313 44TH AVENUE NORTH,MN,55412,PSH
110,Ascension Place/Haven Housing,1803 BRYANT AVE N,MN,55411,"ES, PSH"
110,Ascension Place/Haven Housing,1803 BRYANT AVENUE N,MN,55411,PSH
115,Asociacion de Puertorriquenos en Marcha Inc.,2203 GERMANTOWN AVENUE,PA,19133,PSH
115,Asociacion de Puertorriquenos en Marcha Inc.,2235 GERMANTOWN AVE,PA,19133,PSH
115,Asociacion de Puertorriquenos en Marcha Inc.,2355 GERMANTOWN AVENUE,PA,19133,PSH
130,Acadiana Cares,809 MARTIN LUTHER KING JR DR,LA,70501,"ES, PSH, TH"
130,Acadiana Cares,"809 MARTIN LUTHER KING, JR. DRIVE",LA,70501,PSH
134,ACCESS Inc.,230 W MARKET ST,OH,44303,ES
134,ACCESS Inc.,245 S HIGH ST,OH,44308,TH
138,Action Ministries N. GA Trans. Housing,1515 HOGANSVILLE RD,GA,30241,PSH
139,Action Wellness,1216 ARCH STREET6TH FLOOR,PA,19107,RRH
139,Action Wellness,2641 N 06TH STREET,PA,19133,PSH
147,Addison County Parent Child Center,126 MONROE ST,VT,5753,TH
147,Addison County Parent Child Center,126 MONROE STREET,VT,5753,ES
149,Adult System of Care HHS,101 STERLING CT,CA,95661,PSH
149,Adult System of Care HHS,164 TEAMTRACK RD,CA,95603,PSH
149,Adult System of Care HHS,321 TIMBERLINE LN,CA,95603,PSH
149,Adult System of Care HHS,345 & 355 PLACER STREET,CA,95603,PSH
150,Advance Housing,17 WISHING WELL RD,NJ,7419,PSH
150,Advance Housing,93 STICKLES POND ROAD,NJ,7860,PSH
160,Agency for Community Treatment,1506 MOONLITE DR,FL,33801,PSH
164,Archdiocesan Housing Authority,2929 HOYT AVE,WA,98201,PSH
166,AICHO,927 TRETTEL LN,MN,55720,PSH
166,AICHO,980 OZHIGAW RD,MN,55720,PSH
170,AIDS Housing Association,301 N L ST,WA,98403,PSH
171,AIDS Interfaith Residential Services Inc.,1621 DRUID HILL AVE,MD,21217,TH
171,AIDS Interfaith Residential Services Inc.,1800 N CHARLES ST,MD,21201,PSH
171,AIDS Interfaith Residential Services Inc.,1800 N. CHARLES ST.STE. 700,MD,21201,PSH
171,AIDS Interfaith Residential Services Inc.,2425 LAKEVIEW AVENUE,MD,21217,PSH
171,AIDS Interfaith Residential Services Inc.,3702 COTTAGE AVE,MD,21215,PSH
171,AIDS Interfaith Residential Services Inc.,4201 YORK RD,MD,21212,PSH
172,AIDS Ministries/AIDS Assist of North Indiana,201 S WILLIAM ST,IN,46601,"PSH, TH"
176,AIDS Services Coalition,121 COLLEGE ST,MS,39401,PSH
176,AIDS Services Coalition,209 S 29TH AVE APT 30,MS,39401,PSH
179,AIM,472 W MLK BLVD.,TN,37402,PSH
180,Akron Metropolitan Housing Authority - Community Support Services,100 W CEDAR ST,OH,44307,PSH
182,Alachua County Housing Authority,703 NE 1ST ST,FL,32601,PSH
183,Alameda County,1395 BANCROFT AVENUE,CA,94577,PSH
183,Alameda County,224 W WINTON AVE,CA,94544,PSH
183,Alameda County,224 W WINTON AVE STE 108,CA,94544,PSH
183,Alameda County,40849 FREMONT BLVD,CA,94538,PSH
194,ACH Child and Family Services,3712 WICHITA ST,TX,76119,"ES, TH"
198,Salvation Army of the Lehigh Valley,344 N 7TH ST,PA,18102,"ES, PSH"
199,Allgeheny Valley Association of Churches,1913 FREEPORT RD,PA,15065,"ES, PSH, TH"
202,Alliance for Children & Families,110 WEST CAMBRIDGE ST.,OH,44601,PSH
202,Alliance for Children & Families,610 LINWOOD AVENUE SW,OH,44710,PSH
